Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2424,978,"25EMS1",D,"EMS: Dispatch",EMS Dispatch,"Genesee County (25) Emergency Medical"
2425,979,"25EMS2",D,"EMS: Tactical",EMS-Tac,"Genesee County (25) Emergency Medical"
2426,97a,"25COORD1",D,"Coordinators 1",Fire-Tac,"Genesee County (25) Fire"
2427,97b,"25COORD2",D,"Coordinators 2",Fire-Tac,"Genesee County (25) Fire"
2428,97c,"25SPOP1",D,"Special Operations 1",Interop,"Genesee County (25) Common/Interop"
2429,97d,"25SPOP2",D,"Special Operations 2",Interop,"Genesee County (25) Common/Interop"
2437,985,"25ANIMAL",DE,"County Animal Control: Dispatch",Law Dispatch,"Genesee County (25) Law Enforcement"
2443,98b,"25AD24",DE,"Clio Area Fire: Admin",Fire-Talk,"Genesee County (25) Fire"
2451,993,"25AD38",DE,"Mundy Twp Fire: Admin",Fire-Talk,"Genesee County (25) Fire"
2456,998,"25CIRCT",DE,"Sheriff's Dept: Circuit Court Services Division - Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2457,999,"25DETNE",DE,"Detectives North East",Law Tac,"Genesee County (25) Law Enforcement"
2458,99a,"25DETNW",DE,"Detectives North West",Law Tac,"Genesee County (25) Law Enforcement"
2459,99b,"25DETSE",DE,"Detectives South East",Law Tac,"Genesee County (25) Law Enforcement"
2460,99c,"25DETSW",DE,"Detectives South West",Law Tac,"Genesee County (25) Law Enforcement"
2461,99d,"25DISCT",DE,"Sheriff's Dept: District Court Services Division  - Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2465,9a1,"25DRAIN1",D,"Drain Commission 1",Public Works,"Genesee County (25) County Government"
2466,9a2,"25F21",DE,"Atlas Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2468,9a4,"25F23",DE,"Burton City Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2469,9a5,"25F24",DE,"Clio Area Fire Authority: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2470,9a6,"25F25",DE,"Davison-Richfield Area Fire Authority: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2471,9a7,"25F26",DE,"Flushing Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2472,9a8,"25F27",DE,"Flint Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2473,9a9,"25F29",DE,"Genesee Twp. Fire Station 1: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2474,9aa,"25F31",DE,"Genesee Twp. Fire Station 2: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2475,9ab,"25F32",DE,"Grand Blanc Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2476,9ac,"25F34",DE,"Linden City Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2477,9ad,"25F35",DE,"Montrose Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2479,9af,"25F37",DE,"Mount Morris Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2480,9b0,"25F38",De,"Mundy Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2481,9b1,"25F39",DE,"Forest Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2482,9b2,"25F41",DE,"Swartz Creek Area Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2483,9b3,"25PD257",DE,"Bishop Int. Airport Authority Police, Crash, Fire Rescue - Proprietary",Multi-Talk,"Genesee County (25) Law Enforcement"
2484,9b4,"25F44",DE,"Mount Morris City Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2486,9b6,"25F47",DE,"Argentine Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2487,9b7,"25F48",DE,"Fenton Twp. Fire: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2488,9b8,"25F49",DE,"Gaines Township Fire Department: Proprietary Tactical",Fire-Tac,"Genesee County (25) Fire"
2489,9b9,"25HMRT1",D,"Hazardous Materials Response Team 1",Fire-Tac,"Genesee County (25) Fire"
2490,9ba,"25HMRT2",D,"Hazardous Materials Response Team 2",Fire-Tac,"Genesee County (25) Fire"
2491,9bb,"25GAIN",DE,"Genesee Auto Theft Investigation Network",Law Tac,"Genesee County (25) Law Enforcement"
2492,9bc,"25MARIN",DE,"Sheriff Marine Patrol",Law Talk,"Genesee County (25) Law Enforcement"
2493,9bd,"25P125",DE,"Sheriff: LEIN/Primary Car-to-Car Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2495,9bf,"25PD219",DE,"Argentine Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2497,9c1,"25PD321",DE,"Clio City Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2502,9c6,"25PD342",DE,"Davison City Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2504,9c8,"25PD399",DE,"Flint Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2505,9c9,"399PD2",DE,"Flint Twp. Police 2: Training",Law Tac,"Genesee County (25) Law Enforcement"
2506,9ca,"25PD400",DE,"Flushing City Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2508,9cc,"25PD401",DE,"Flushing Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2512,9d0,"25PD422",DE,"Genesee Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2514,9d2,"25PD431",DE,"Grand Blanc City Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2515,9d3,"25P431A",DE,"Grand Blanc City Police",Law Tac,"Genesee County (25) Law Enforcement"
2516,9d4,"25PD535",DE,"Linden Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2519,9d7,"25PD598",DE,"Mount Morris City Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2521,9d9,"25MPA",DE,"Metro Police Authority: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2525,9dd,"25PD871",DE,"Clayton Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2529,9e1,"25PD839",DE,"Burton City Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2531,9e3,"25PD845",DE,"Mount Morris Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2533,9e5,"25PD852",DE,"Grand Blanc Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2535,9e7,"25PD860",DE,"Davison Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2537,9e9,"25PD869",DE,"Richfield Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2539,9eb,"25PD899",DE,"Montrose Twp. Police: Proprietary",Law Talk,"Genesee County (25) Law Enforcement"
2542,9ee,"25PARKS",D,"County Parks and Recreation: Rangers Proprietary",Law Talk,"Genesee County (25) County Government"
2549,9f5,"25POSSE",DE,"Sheriff: Drug Posse",Law Tac,"Genesee County (25) Law Enforcement"
2551,9f7,"81MCA",D,"Washtenaw - Livingston Medical Control Authority",Hospital,"Regional Medical Control Authority Talkgroups"
2553,9f9,"82MCC",D,"Medical Control Center",Hospital,"Wayne County (82) Hospitals"
2557,9fd,"RG2STAC1",D,"Region 2 South: TAC1",EMS-Tac,"Regional Medical Control Authority Talkgroups"
2558,9fe,"RG2STAC2",D,"Region 2 South: TAC2",EMS-Tac,"Regional Medical Control Authority Talkgroups"
2559,9ff,"RG2STAC3",D,"Region 2 South: TAC3",EMS-Tac,"Regional Medical Control Authority Talkgroups"
2561,a01,"RG2STAC5",D,"Region 2 South: TAC5",EMS-Tac,"Regional Medical Control Authority Talkgroups"
2564,a04,"82HARP",D,"Harper University",Hospital,"Wayne County (82) Hospitals"
2570,a0a,"81CCH",D,"Chelsea Community Hospital",Hospital,"Washtenaw County (81) Hospitals"
2571,a0b,"81UMH",D,"University of Michigan Hospital",Hospital,"Washtenaw County (81) Hospitals"
2572,a0c,"81STJOE",D,"St. Joseph Hospital",Hospital,"Washtenaw County (81) Hospitals"
2573,a0d,"81SJS",D,"Saline Hospital",Hospital,"Washtenaw County (81) Hospitals"
2574,a0e,"81VAH",D,"Veterans Hospital",Hospital,"Washtenaw County (81) Hospitals"
2575,a0f,"81MCA",D,"Medical Control Authority",Hospital,"Washtenaw County (81) Hospitals"
2576,a10,"82GCH",D,"Garden City",Hospital,"Wayne County (82) Hospitals"
2577,a11,"82HFF",D,"Henry Ford Fairlane",Hospital,"Wayne County (82) Hospitals"
2578,a12,"82HFW",D,"Henry Ford Wyandotte",Hospital,"Wayne County (82) Hospitals"
2579,a13,"82OAH",D,"Oakwood Heritage",Hospital,"Wayne County (82) Hospitals"
2580,a14,"82OHC",D,"Oakwood Canton",Hospital,"Wayne County (82) Hospitals"
2581,a15,"82OHH1",D,"Oakwood Main 1",Hospital,"Wayne County (82) Hospitals"
2582,a16,"82OHH2",D,"Oakwood Main 2",Hospital,"Wayne County (82) Hospitals"
2583,a17,"82SMM",D,"St. Mary's Livonia",Hospital,"Wayne County (82) Hospitals"
2585,a19,"MSP/OSP",D,"Lenawee, Monroe, Washtenaw, and Toledo/Lucas County, Ohio",Interop,"Statewide Regional Common/Interop"
2586,a1a,"50REPD",D,"Romeo Police Proprietary ",Law Talk,"Macomb County (50) Northern Public Safety"
2587,a1b,"HVAD4",D,"Monroe County Mutual Ops: LifeStar, ProMedica",EMS-Tac,"Emergent Health Partners"
2588,a1c,"HVAD5",D,"Eastern Dispatch: Alliance Ambulance",EMS Dispatch,"Emergent Health Partners"
2589,a1d,"HVAD6",D,"Special Events 1",EMS-Tac,"Emergent Health Partners"
2590,a1e,"HVAD7",D,"Special Events 2",EMS-Tac,"Emergent Health Partners"
2591,a1f,"HVAD8",D,"Special Events 3 (M.I.S. races)",EMS-Tac,"Emergent Health Partners"
2593,a21,"81TRT",D,"Technical Rescue Team Base 17 Ops.",Fire-Tac,"Washtenaw County (81) Fire-Rescue"
2594,a22,"82EMD1",D,"Emergency Management Operations 1",Emergency Ops,"Wayne County (82) Sheriffs Department"
2595,a23,"82EMD2",D,"Emergency Management Operations 2",Emergency Ops,"Wayne County (82) Sheriffs Department"
2597,a25,"METMAIN",D,"Metro Detroit area",Public Works,"MDOT - Metro Region"
2598,a26,"METRO",D,"Metro Detroit area",Public Works,"MDOT - Metro Region"
2599,a27,"METRO",D,"Metro Detroit area",Public Works,"MDOT - Metro Region"
2600,a28,"METWC",D,"Wayne County",Public Works,"MDOT - Metro Region"
2601,a29,"METRO",D,"Metro Detroit area",Public Works,"MDOT - Metro Region"
2602,a2a,"METRO A",D,"Oakland County",Public Works,"MDOT - Metro Region"
2603,a2b,"METRO B",D,"Metro Traffic Management 1 - Auburn Hills",Public Works,"MDOT - Metro Region"
2604,a2c,"METRO C",D,"Metro Detroit area",Public Works,"MDOT - Metro Region"
2605,a2d,"44COM",D,"Countywide Common (Mutual Aid all agencies)",Interop,"Lapeer County (44) Common/Interop"
2606,a2e,"56COM",D,"Countywide Common",Interop,"Midland County (56) Common/Interop"
2607,a2f,"47HD",D,"County Health Department",EMS-Talk,"Livingston County (47) EMS/Hospitals"
2608,a30,"D2FAT1",DE,"Fugitive Apprehension Team 1",Law Tac,"State Police - Detroit Tri-County Area C.I.D."
2610,a32,"CHREG3",D,"Region 3 Network",Hospital,"State Dept. of Community Health"
2611,a33,"CHREGC",D,"Region 3 Network",Hospital,"State Dept. of Community Health"
2612,a34,"RG3MC1 ",D,"Region 3: Medical Control Authority 1",Hospital,"Regional Medical Control Authority Talkgroups"
2613,a35,"RG3MC2 ",D,"Region 3: Medical Control Authority 2",Hospital,"Regional Medical Control Authority Talkgroups"
2614,a36,"RG3MC3",D,"Region 3: Medical Control Authority 3",Hospital,"Regional Medical Control Authority Talkgroups"
2615,a37,"01MCA",D,"Medical Control Authority",Hospital,"Alcona County (01) EMS"
2616,a38,"06MCA",D,"Medical Control Authority",Hospital,"Arenac County (06)"
2617,a39,"09MCA",D,"Medical Control Authroity",Hospital,"Bay County (09) EMS/Hospital"
2618,a3a,"25MCA",D,"Medical Control Authority",Hospital,"Genesee County (25) Emergency Medical"
2619,a3b,"32MCA",D,"Medical Control Authority",Hospital,"Huron County (32)"
2620,a3c,"35MCA",D,"Medical Control Authority",Hospital,"Iosco County (35) EMS/Hospital"
2622,a3e,"56MCA",D,"Medical Control Authority",Hospital,"Midland County (56) EMS"
2623,a3f,"65MCA",D,"Medical Control Authority",Hospital,"Ogemaw County (65)"
2624,a40,"73MCA",D,"Medical Control Authority",Hospital,"Saginaw County (73) EMS/Hospital"
2625,a41,"76MCA",D,"Medical Control Authority",Hospital,"Sanilac County (76)"
2626,a42,"09BRMC",D,"McLaren-Bay Region E.R.",Hospital,"Bay County (09) EMS/Hospital"
2627,a43,"79CARO",D,"EMS-to-McLaren Caro Region",Hospital,"Tuscola County (79) EMS/Hospital"
2628,a44,"73COV",D,"Covenant Hospital (EMS-to-Hospital)",Hospital,"Saginaw County (73) EMS/Hospital"
2629,a45,"76DECK",D,"EMS-to-Deckerville Community Hospital",Hospital,"Sanilac County (76)"
2630,a46,"25GENE",D,"Ascension Genesys Hospital: EMS-to-Hospital",Hospital,"Genesee County (25) Emergency Medical"
2631,a47,"32HARB",D,"EMS-to-Harbor Beach Hospital",Hospital,"Huron County (32)"
2632,a48,"73HSS",D,"Healthsource EMS",Hospital,"Saginaw County (73) EMS/Hospital"
2633,a49,"79HDGH",D,"EMS-to-Hills and Dales General Hospital",Hospital,"Tuscola County (79) EMS/Hospital"
2634,a4a,"25HURL",D,"Hurley Medical Center: EMS-to-Hospital",Hospital,"Genesee County (25) Emergency Medical"
2635,a4b,"32HURON",D,"EMS-to-McLaren Thumb Area Hospital",Hospital,"Huron County (32)"
2636,a4c,"44MCHLRH",D,"McLaren Lapeer Region",Hospital,"Lapeer County (44) EMS/Hospitals"
2637,a4d,"76MARL",D,"EMS-to-Marlette Regional Hospital",Hospital,"Sanilac County (76)"
2638,a4e,"76MCK",D,"EMS-to-McKenzie Health System",Hospital,"Sanilac County (76)"
2639,a4f,"25MCLAR",D,"McLaren-Flint: EMS-to-Hospital",Hospital,"Genesee County (25) Emergency Medical"
2640,a50,"26GLAD",D,"MyMichigan Regional Medical Center (Gladwin) ",Hospital,"Gladwin County (26)"
2641,a51,"56MIDL",D,"MyMichigan Hospital EMS",EMS Dispatch,"Midland County (56) EMS"
2642,a52,"32SCH",D,"EMS-to-Scheurer (Pigeon) Hospital",Hospital,"Huron County (32)"
2643,a53,"73ASMH",D,"EMS - Ascension St. Mary's Hospital",Hospital,"Saginaw County (73) EMS/Hospital"
2644,a54,"06SMH",D,"St. Marys Hospital",Hospital,"Arenac County (06)"
2645,a55,"76COM",D,"Countywide Common (Mutual Aid all agencies)",Interop,"Sanilac County (76)"
2646,a56,"25EMHS",D,"Emergency Management Homeland Security Office",Emergency Ops,"Genesee County (25) County Government"
2647,a57,"393EMS1",D,"EMS Tactical",EMS-Tac,"Genesee County (25) Fenton City"
2648,a58,"393FG1",D,"Fireground 1",Fire-Tac,"Genesee County (25) Fenton City"
2649,a59,"393SPEV1",D,"Special Events 1",Multi-Tac,"Genesee County (25) Fenton City"
2650,a5a,"393SPEV2",DE,"Special Events 2",Multi-Tac,"Genesee County (25) Fenton City"
2651,a5b,"393EAC",D,"Emergency All-Call",Interop,"Genesee County (25) Fenton City"
2652,a5c,"47REDC1",D,"Livingston County: Ops 1",Emergency Ops,"American Red Cross"
2653,a5d,"REDCCOM",D,"Statewide Common",Emergency Ops,"American Red Cross"
2655,a5f,"73SMMC",D,"St Mary's Hospital Downtown (EMS-to-Hospital)",Hospital,"Saginaw County (73) EMS/Hospital"
2657,a61,"47SJLH",D,"St. Joseph Livingston - Howell",Hospital,"Livingston County (47) EMS/Hospitals"
2659,a63,"50LEIN",D,"Police LEIN",Law Talk,"Macomb County (50) Law Enforcement"
2660,a64,"50JAIL",D,"Sheriff Jail Ops",Corrections,"Macomb County (50) Law Enforcement"
2668,a6c,"50SPEV3",D,"Special Events 3",Interop,"Macomb County (50) Common/Interop"
2669,a6d,"50SPEV4",D,"Special Events 4",Interop,"Macomb County (50) Common/Interop"
2672,a70,"50AC150",D,"Animal Control",Law Talk,"Macomb County (50) County Government"
2673,a71,"25PMOTT",DE,"Mott Community College: Campus Public Safety Dispatch",Law Dispatch,"Genesee County (25) Law Enforcement"
2674,a72,"25PD904",DE,"Flint: Campus Police Dispatch",Law Dispatch,"University of Michigan"
2675,a73,"63OAK",D,"Oakland General",Hospital,"Oakland County (63) Hospitals"
2680,a78,"50MCLRN1",D,"McLaren-Macomb 1",Hospital,"Macomb County (50) Hospitals"
2683,a7b,"50HFMAC",D,"Henry Ford Macomb",Hospital,"Macomb County (50) Hospitals"
2684,a7c,"63ONACC",D,"Hospital",Hospital,"Oakland County (63) Hospitals"
2686,a7e,"74LHMCH",D,"Lake Huron Medical Center",Hospital,"St. Clair County (74) EMS/Hospital"
2687,a7f,"74MCPH",D,"McLaren Port Huron",Hospital,"St. Clair County (74) EMS/Hospital"
2688,a80,"74ARDH",D,"Ascension River District Hospital (East China Twp.)",Hospital,"St. Clair County (74) EMS/Hospital"
2690,a82,"USCGIS",D,"U.S. Coast Guard Investigative Services",Military,"U.S. Department of Defense"
2691,a83,"USCGIS 2",D,"U.S. Coast Guard Investigative Services",Military,"U.S. Department of Defense"
2693,a85,"74HMRT",D,"Hazardous Materials Response Team",Fire-Tac,"St. Clair County (74) Fire"
2694,a86,"74F911",D,"Fire Dispatch",Fire Dispatch,"St. Clair County (74) Fire"
2695,a87,"74E911",D,"EMS - Dispatch",EMS Dispatch,"St. Clair County (74) EMS/Hospital"
2696,a88,"USCGIS",D,"U.S. Coast Guard Investigative Services",Military,"U.S. Department of Defense"
2697,a89,"74OPS3A",D,"Central On-Scene Interoperability - All Agencies",Interop,"St. Clair County (74) Common/Interop"
2698,a8a,"74OPS4A",D,"Downriver On-Scene Interoperability - All Agencies",Interop,"St. Clair County (74) Common/Interop"
2699,a8b,"74DET",DE,"Sheriff: Detectives",Law Talk,"St. Clair County (74) Law Enforcement"
2700,a8c,"74EDU",D,"Regional Education Service Area (RESA)",Schools,"St. Clair County (74) Public Schools Transportation"
2701,a8d,"74P209",D,"Algonac Police: Proprietary",Law Talk,"St. Clair County (74) Law Enforcement"
2702,a8e,"209COM",D,"Algonac Common",Interop,"St. Clair County (74) Municipal Common"
2703,a8f,"74F20",D,"Berlin Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2704,a90,"74F02",D,"Brockway Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2705,a91,"835COM",D,"Yale Common",Interop,"St. Clair County (74) Municipal Common"
2706,a92,"74F18",D,"Brockway Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2707,a93,"74PD835",D,"Yale Police: Proprietary",Law Talk,"St. Clair County (74) Law Enforcement"
2708,a94,"74F03",D,"Burtchville Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2709,a95,"74F04",D,"Mussy Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2710,a96,"286COM",D,"Capac Common",Interop,"St. Clair County (74) Municipal Common"
2711,a97,"74PD286",D,"Capac Police: Proprietary",Law Talk,"St. Clair County (74) Law Enforcement"
2713,a99,"867COM",D,"Clay Twp. Common",Interop,"St. Clair County (74) Municipal Common"
2714,a9a,"74F08",D,"Harsens Island Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2715,a9b,"867P911",D,"Clay Twp. Police: Dispatch",Law Dispatch,"St. Clair County (74) Law Enforcement"
2716,a9c,"867LAW1",D,"Clay Twp. Police: Secondary",Law Talk,"St. Clair County (74) Law Enforcement"
2717,a9d,"74F19",D,"Clyde Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2718,a9e,"74F05",D,"Emmett Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2719,a9f,"74F06",D,"Fort Gratiot Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2720,aa0,"74F07",D,"Grant Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2721,aa1,"74F09",D,"Ira Township Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2722,aa2,"74F10",D,"Kenockee Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2723,aa3,"74F11",D,"Kimball Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2724,aa4,"74F12",D,"Marine City Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2725,aa5,"556COM",D,"Marine City Common",Interop,"St. Clair County (74) Municipal Common"
2726,aa6,"74P556",D,"Marine City Police: Proprietary",Law Talk,"St. Clair County (74) Law Enforcement"
2727,aa7,"74F13",D,"Marysville - Proprietary",Fire-Talk,"St. Clair County (74) Port Huron/Marysville Fire"
2728,aa8,"562COM",D,"Marysville Common",Interop,"St. Clair County (74) Municipal Common"
2729,aa9,"74PD562",D,"Marysville Police: Proprietary",Law Talk,"St. Clair County (74) Law Enforcement"
2730,aaa,"74F14",D,"Memphis Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2731,aab,"573COM",D,"Memphis Common",Interop,"St. Clair County (74) Municipal Common"
2733,aad,"74F15",D,"Port Huron - Proprietary",Fire-Talk,"St. Clair County (74) Port Huron/Marysville Fire"
2734,aae,"676COM",D,"Port Huron Common",Interop,"St. Clair County (74) Municipal Common"
2735,aaf,"676OPS1",D,"Port Huron City Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2736,ab0,"74P676",D,"Operations",Law Talk,"St. Clair County (74) Port Huron Police"
2737,ab1,"676SRT",D,"Special Operations Team",Law Tac,"St. Clair County (74) Port Huron Police"
2738,ab2,"676DET1",DE,"Detectives 1",Law Talk,"St. Clair County (74) Port Huron Police"
2739,ab3,"676LAW1",D,"Secondary",Law Talk,"St. Clair County (74) Port Huron Police"
2740,ab4,"74F16",D,"Port Huron Twp Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2741,ab5,"74F17",D,"St. Clair Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2742,ab6,"721COM",D,"St. Clair Common",Interop,"St. Clair County (74) Municipal Common"
2743,ab7,"74P721",D,"St. Clair Police: Proprietary",Law Talk,"St. Clair County (74) Law Enforcement"
2744,ab8,"74P174",D,"Sheriff: Administration",Law Talk,"St. Clair County (74) Law Enforcement"
2745,ab9,"74LAW2",D,"Police: Law Enforcement 2",Law Talk,"St. Clair County (74) Law Enforcement"
2746,aba,"74SRT",D,"Sheriff: Special Response Team",Law Tac,"St. Clair County (74) Law Enforcement"
2747,abb,"74DRUG",D,"Countywide Narcotics Enforcement Common",Law Tac,"St. Clair County (74) Law Enforcement"
2748,abc,"174MSR",D,"Sheriff: Marine Rescue",Law Talk,"St. Clair County (74) Law Enforcement"
2749,abd,"174MAR",D,"Sheriff: Marine Division",Law Talk,"St. Clair County (74) Law Enforcement"
2750,abe,"74F01",D,"Algonac Proprietary",Fire-Talk,"St. Clair County (74) Fire"
2752,ac0,"44PCNT1",D,"Police - Clear Interop/Legacy",Interop,"Lapeer County (44) Law Enforcement"
2769,ad1,"44FCNT",D,"Fire - Interop/Legacy",Interop,"Lapeer County (44) Fire"
2770,ad2,"82EWCOM",D,"CEW: Common (Mutual Aid, All Agencies)",Interop,"Wayne County (82) Conference of Eastern Wayne: Common/Interop"
2778,ada,"79PGTRNG",D,"Pager Training",Fire Dispatch,"Tuscola County (79) Fire"
2780,adc,"74THEMS",D,"Tri-Hospital EMS",EMS-Talk,"St. Clair County (74) EMS/Hospital"
2781,add,"74THEMS",D,"Tri-Hospital EMS: Proprietary",EMS-Talk,"St. Clair County (74) EMS/Hospital"
2782,ade,"74THWC",D,"Tri-Hospital Wheelchair Units",EMS-Talk,"St. Clair County (74) EMS/Hospital"
2783,adf,"74THADM",D,"Tri-Hospital Administration",EMS-Talk,"St. Clair County (74) EMS/Hospital"
2784,ae0,"73HD",D,"Health Dept.",EMS-Talk,"Saginaw County (73) County Government"
2785,ae1,"25GCRC1",D,"Road Commission 1",Public Works,"Genesee County (25) County Government"
2786,ae2,"25GCRC2",D,"Road Commission 2",Public Works,"Genesee County (25) County Government"
2789,ae5,"BAYMTPL",D,"Mount Pleasant",Public Works,"MDOT - Bay Region"
2790,ae6,"BAYCITY",D,"Bay City/County Operations",Public Works,"MDOT - Bay Region"
2791,ae7,"BAYCASS",D,"Bay Region Cass City garage",Public Works,"MDOT - Bay Region"
2792,ae8,"BAYDAVS",D,"Bay Region Davison garage",Public Works,"MDOT - Bay Region"
2793,ae9,"MDOTBAY",D,"District Common",Public Works,"MDOT - Bay Region"
2794,aea,"81 EOC",D,"Emergency Operations Center",Emergency Ops,"Washtenaw County (81) Sheriff's Department"
2795,aeb,"81 INTEROP 5",D,"Interoperability  5",Fire-Tac,"Washtenaw County (81) Common/Interop"
2796,aec,"25BCF",DE,"Baker College Flint: Campus Safety Dispatch",Law Dispatch,"Genesee County (25) Law Enforcement"
2797,aed,"DETPM1",D,"People Mover: Primary Ops",Transportation,"Wayne County (82) Detroit City Services"
2798,aee,"DETPM2",D,"People Mover 2",Transportation,"Wayne County (82) Detroit City Services"
2799,aef,"DETPM2",D,"People Mover 3",Transportation,"Wayne County (82) Detroit City Services"
2807,af7,"82CFD4",DE,"Fire Command ",Fire-Tac,"Wayne County (82) Canton Township"
2809,af9,"82P965",D,"Police Dispatch",Law Dispatch,"Wayne County (82) Plymouth City / Township"
2812,afc,"82PLDPW",D,"Plymouth Twp. DPW",Public Works,"Wayne County (82) Plymouth City / Township"
2816,b00,"82PSPEV",D,"Special Event",Interop,"Wayne County (82) Plymouth City / Township"
2818,b02,"239TAC1 - VIPER1",DE,"Vital Innovative Partnerships Ensuring Reclamation (VIPER) Team",Law Tac,"State Police - Thumb/Tri-Cities Region C.I.D."
2819,b03,"239TAC2 - VIPER2",DE,"Vital Innovative Partnerships Ensuring Reclamation (VIPER 2) Team",Law Tac,"State Police - Thumb/Tri-Cities Region C.I.D."
2821,b05,"81FG14",D,"Ypsilanti Twp Base 14 Fireground",Fire-Talk,"Washtenaw County (81) Fire-Rescue"
2822,b06,"81 FIRE 1",D,"Ann Arbor City Dispatch",Fire Dispatch,"Washtenaw County (81) Fire-Rescue"
2823,b07,"63E911",D,"EMS Patch to Oakland County",EMS-Tac,"Oakland County (63)"
2824,b08,"81 INTEROP 1",D,"Interoperability  1",Law Tac,"Washtenaw County (81) Common/Interop"
2825,b09,"81 INTEROP 2",D,"Interoperability  2",Law Tac,"Washtenaw County (81) Common/Interop"
2826,b0a,"81 INTEROP 3",D,"Interoperability  3",Law Tac,"Washtenaw County (81) Common/Interop"
2827,b0b,"81 INTEROP 4",D,"Interoperability  4",Fire-Tac,"Washtenaw County (81) Common/Interop"
2828,b0c,"81 INTEROP 6",D,"Interoperability  6",Interop,"Washtenaw County (81) Common/Interop"
2829,b0d,"81 INTEROP 7",D,"Interoperability  7",Interop,"Washtenaw County (81) Common/Interop"
2830,b0e,"81 INTEROP 8",D,"Interoperability  8",Interop,"Washtenaw County (81) Common/Interop"
2831,b0f,"63F911",D,"Fire Patch to Oakland County",Fire-Tac,"Oakland County (63)"
2832,b10,"50PD220",D,"Armada Village Police Dispatch (Dispatched by Sheriff Station 10)",Law Dispatch,"Macomb County (50) Northern Public Safety"
2833,b11,"50PD1",D,"Police Operations 1",Law Talk,"Macomb County (50) Law Enforcement"
2834,b12,"50PD2",D,"Police Operations 2",Law Talk,"Macomb County (50) Law Enforcement"
