1766,6E6,D,73TATOP,Taymouth Twp FD,Fire-Tac,Saginaw County 73 Fire Operations,1
1767,6E7,D,73TTOP,Thomas Twp Fire,Fire-Tac,Saginaw County 73 Fire Operations,1
1768,6E8,D,73TITOP,Tittabawasse FD,Fire-Tac,Saginaw County 73 Fire Operations,1
1769,6E9,D,73TRIOP,Tri Township Fire,Fire-Tac,Saginaw County 73 Fire Operations,1
1770,6EA,D,73ZILOP,Zilwaukee Fire,Fire-Tac,Saginaw County 73 Fire Operations,1
1771,6EB,D,73DCOM,Disaster Command,Emergency Ops,Saginaw County 73 CommonInterop,1
1772,6EC,D,73DLAW,Disaster Law,Emergency Ops,Saginaw County 73 CommonInterop,1
1773,6ED,D,73DFIRE,Disaster Fire,Emergency Ops,Saginaw County 73 CommonInterop,1
1774,6EE,D,73DEMS,Disaster EMS,Emergency Ops,Saginaw County 73 CommonInterop,1
1775,6EF,D,73DPLAN,Disaster Planning,Emergency Ops,Saginaw County 73 CommonInterop,1
1776,6F0,D,73DFIN,Disaster Finance,Emergency Ops,Saginaw County 73 CommonInterop,1
1777,6F1,D,73DLOG,Disaster Logistics,Emergency Ops,Saginaw County 73 CommonInterop,1
1778,6F2,D,73DSFY,Disaster Safety,Emergency Ops,Saginaw County 73 CommonInterop,1
1779,6F3,D,73DLIAS,Disaster Liaison,Emergency Ops,Saginaw County 73 CommonInterop,1
1780,6F4,D,73DHAZ,Disaster Hazmat,Emergency Ops,Saginaw County 73 CommonInterop,1
1781,6F5,D,73DOP1,Disaster Ops1,Emergency Ops,Saginaw County 73 CommonInterop,1
1782,6F6,D,73DOP2,Disaster Ops 2,Emergency Ops,Saginaw County 73 CommonInterop,1
1783,6F7,D,73DOP3,Disaster Ops 3,Emergency Ops,Saginaw County 73 CommonInterop,1
1784,6F8,D,73DOP4,Disaster Ops 4,Emergency Ops,Saginaw County 73 CommonInterop,1
1785,6F9,D,73DOP5,Disaster Ops 5,Emergency Ops,Saginaw County 73 CommonInterop,1
1786,6FA,D,73SMMCN,St Marys Hospital North,Hospital,Saginaw County 73 EMSHospital,1
1787,6FB,D,73SCMMC2,St Marys Hospital Security 1,Security,Saginaw County 73 EMSHospital,1
1788,6FC,D,73FLTDI,Flight Care Dispatch Based out of Saginaw,EMS Dispatch,Statewide Aeronautical Medical,1
1789,6FD,D,73FLTAD,Flight Care Admin Based out of Saginaw,EMS-Talk,Statewide Aeronautical Medical,1
1790,6FE,D,73HDADM,Health Dept Admin,EMS-Talk,Saginaw County 73 County Government,1
1791,6FF,D,73HD1,Health Dept 1,EMS-Talk,Saginaw County 73 County Government,1
1792,700,D,73HD2,Health Dept 2,EMS-Talk,Saginaw County 73 County Government,1
1793,701,D,73FRMAD,City Admin,Public Works,Saginaw County 73 Frankenmuth,1
1794,702,D,73FRMDP,DPW,Public Works,Saginaw County 73 Frankenmuth,1
1795,703,D,73FRMWA,Water,Public Works,Saginaw County 73 Frankenmuth,1
1796,704,D,73FRMPK,Parks,Public Works,Saginaw County 73 Frankenmuth,1
1797,705,D,73FRMWW,Wastewater Treatment Plant,Public Works,Saginaw County 73 Frankenmuth,1
1798,706,D,73FRME1,Event 1,Multi-Tac,Saginaw County 73 Frankenmuth,1
1799,707,D,73FRME2,Event 2,Multi-Tac,Saginaw County 73 Frankenmuth,1
1800,708,D,73FRME3,Event 3,Multi-Tac,Saginaw County 73 Frankenmuth,1
1801,709,D,73FRME4,Event 4,Multi-Tac,Saginaw County 73 Frankenmuth,1
1802,70A,D,73FRME5,Event 5,Multi-Tac,Saginaw County 73 Frankenmuth,1
1803,70B,D,MMR NORTH,North Dispatch Saginaw and Bay Counties,EMS Dispatch,Mobile Medical Response Med Comm,1
1804,70C,D,73MMR2,MMR2 Ops,EMS-Talk,Mobile Medical Response Med Comm,1
1805,70D,D,73MMR3,MMR3,EMS-Talk,Mobile Medical Response Med Comm,1
1806,70E,D,73MMR4,MMR4,EMS-Talk,Mobile Medical Response Med Comm,1
1807,70F,D,73BPDPA,Bridgeport DPW Admin,Public Works,Saginaw County 73 Local Government,1
1808,710,D,73BPDP1,Bridgeport DPW 1,Public Works,Saginaw County 73 Local Government,1
1809,711,D,73BPDP2,Bridgeport DPW 2,Public Works,Saginaw County 73 Local Government,1
1811,713,D,73CHS1,Covenant Hospital Security,Security,Saginaw County 73 EMSHospital,1
1812,714,D,73FRMBL,Frankenmuth Police Admin,Law Talk,Saginaw County 73 Frankenmuth,1
1813,715,D,73ARSON,Arson,Fire-Tac,Saginaw County 73 E911 Central Dispatch Fire,1
1815,717,D,MMR SW,Statewide Roaming ,EMS-Talk,Mobile Medical Response Med Comm,1
1816,718,D,06MMR,Arenac County Dispatch,EMS Dispatch,Mobile Medical Response Med Comm,1
1819,71B,D,MNGFCTC,Fort Custer Training Center,Military,Michigan National Guard,1
1825,721,D,MNG,Tactical,Military,Michigan National Guard,1
1826,722,D,MNG,Tactical,Military,Michigan National Guard,1
1827,723,D,MNG,Tactical,Military,Michigan National Guard,1
1829,725,D,MNG,Tactical,Military,Michigan National Guard,1
1834,72A,D,MNG GTOWER,Camp Grayling Tower,Military,Michigan National Guard,1
1839,72F,D,73BPBD1,Bridgeport Bldg Dept,Public Works,Saginaw County 73 Local Government,1
1840,730,D,73BPGVA,Bridgeport Govt Center Admin,Public Works,Saginaw County 73 Local Government,1
1841,731,D,73SFD2,Fire Station 1,Fire-Talk,Saginaw County 73 Saginaw City,1
1842,732,D,73SFD3,Fire Station 2,Fire-Talk,Saginaw County 73 Saginaw City,1
1843,733,D,73SFD4,Fire Station 3,Fire-Talk,Saginaw County 73 Saginaw City,1
1844,734,D,73SHADM,Fire Station 4,Fire-Talk,Saginaw County 73 Saginaw City,1
1845,735,D,73SEVT2,St Marys Hospital Security 2,Security,Saginaw County 73 EMSHospital,1
1846,736,D,73MAINT,Maintenance,Public Works,Saginaw County 73 County Government,1
1847,737,D,73MNTAD,Maintenance Admin,Public Works,Saginaw County 73 County Government,1
1848,738,D,73MAIN1,Maintenance 1,Public Works,Saginaw County 73 County Government,1
1849,739,D,73MAIN2,Maintenance 2,Public Works,Saginaw County 73 County Government,1
1850,73A,D,73ELECT,Electrical,Public Works,Saginaw County 73 County Government,1
1851,73B,D,73GRNDS,Grounds,Public Works,Saginaw County 73 County Government,1
1852,73C,D,73PKENF,Parking Enforcement,Law Talk,Saginaw County 73 County Government,1
1853,73D,D,73PKSAD,Parks Admin,Public Works,Saginaw County 73 County Government,1
1854,73E,D,73PARK1,Parks 1,Public Works,Saginaw County 73 County Government,1
1855,73F,D,73PARK2,Parks 2,Public Works,Saginaw County 73 County Government,1
1856,740,D,73PARK3,Parks 3,Public Works,Saginaw County 73 County Government,1
1857,741,D,ANMLRESRCH,Animal Resarch,Law Talk,State Dept of Natural Resources  Statewide,1
1905,771,D,73P173,Sheriff Proprietary,Law Talk,Saginaw County 73 Local Law Enforcement,1
1908,774,D,78BKROW,Baker College Owosso Campus Safety,Law Tac,Shiawassee County 78 Law Enforcement,1
1909,775,D,73FIRE,Fire Ops,Fire-Tac,Saginaw County 73 E911 Central Dispatch Fire,1
1911,777,D,78SATA,Shiawassee Area Transportation Agency,Transportation,Shiawassee County 78 County Government,1
1915,77B,D,78JAIL,Sheriff  Jail Security,Corrections,Shiawassee County 78 Law Enforcement,1
1923,783,D,73JAIL,Sheriff Jail,Corrections,Saginaw County 73 Local Law Enforcement,1
1924,784,D,TRAIN4,Training Academy,Law Talk,State Police District 1  CentralSouth Region,1
1927,787,D,29LEIN,Central 911 Police  LEIN ,Law Tac,Gratiot County 29,1
1928,788,D,29PTAC1,Central 911 Police  Tactical Ops 1,Law Tac,Gratiot County 29,1
1929,789,D,29FE911,Central 911 FireEMS  Dispatch,Fire Dispatch,Gratiot County 29,1
1930,78A,D,29PD191,Sheriff  Admin,Law Talk,Gratiot County 29,1
1931,78B,D,29PD213,Alma Police  Proprietary,Law Tac,Gratiot County 29,1
1932,78C,D,29PD727,St Louis Police  Proprietary,Law Tac,Gratiot County 29,1
1933,78D,D,29PD496,Ithaca Police  Proprietary,Law Tac,Gratiot County 29,1
1935,78F,D,29AC129,Animal Control,Law Talk,Gratiot County 29,1
1937,791,D,29DPW213,Alma DPW,Public Works,Gratiot County 29,1
1940,794,D,29SPEV1,Special Events 1,Multi-Tac,Gratiot County 29,1
1942,796,D,29JAIL,Sheriff  County Jail Ops,Corrections,Gratiot County 29,1
1959,7A7,DE,MAGNET1,MidMichigan Area Group Narcotics Enforcement Team 1,Law Tac,State Police  CentralSouth Region CID,1
1963,7AB,D,46F911,Central 911 Fire Dispatch Future Use,Fire Dispatch,Lenawee County 46,1
1964,7AC,D,46RTFD1,Ridgeway Twp Fire Fireground 1 Future Use,Fire-Tac,Lenawee County 46,1
1965,7AD,D,46RTFD2,Ridgeway Twp Fire Fireground 2 Future Use,Fire-Tac,Lenawee County 46,1
1967,7AF,D,MSPAD2,Aviation Division 2,Law Tac,State Police  Statewide,1
1968,7B0,D,719PTAC,Saginaw Valley State University Police Tactical,Law Tac,State Colleges and Universities,1
1974,7B6,D,CBPBASE,US Border Patrol BasetoBase,Federal,Federal Government  Law Enforcement,1
1976,7B8,DE,D1TTEU1,Tobacco Tax Enforcement Unit 1,Law Tac,State Police  CentralSouth Region CID,1
1980,7BC,D,56COLE,Coleman Fire,Fire-Tac,Midland County 56 Fire,1
1981,7BD,D,56HOPE,Hope Twp Fire,Fire-Tac,Midland County 56 Fire,1
1982,7BE,D,56JERM,Jerome Twp Fire,Fire-Tac,Midland County 56 Fire,1
1983,7BF,D,56EDEN,Edenville Fire,Fire-Tac,Midland County 56 Fire,1
1984,7C0,D,56HOME,Homer Fire,Fire-Tac,Midland County 56 Fire,1
1985,7C1,D,56LARKN,Larkin Twp Fire,Fire-Tac,Midland County 56 Fire,1
1986,7C2,D,56LEE,Lee Fire,Fire-Tac,Midland County 56 Fire,1
1987,7C3,D,56LINC,Lincoln Fire,Fire-Tac,Midland County 56 Fire,1
1988,7C4,D,56MILLS,Mills Fire,Fire-Tac,Midland County 56 Fire,1
1989,7C5,D,56MTFD,Midland Twp Fire,Fire-Tac,Midland County 56 Fire,1
1994,7CA,D,DEMOTG19,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1999,7CF,DE,MOTECH1,Motorola Engineering Technicians 1,Public Works,MPSCS Technicians,1
2000,7D0,De,393PD911,Police  Dispatch,Law Dispatch,Genesee County 25 Fenton City,1
2001,7D1,D,D2EAC,Metro Posts 21 22 Emergency All Call Emergency Broadcasts,Emergency Ops,State Police District 2  Metro Detroit TriCounty Area,1
2003,7D3,D,47PEAC,Countywide  Emergency All Call,Interop,Livingston County 47 CommonInterop,1
2005,7D5,D,MSP2,MSP District 2,Law Talk,State Police  Statewide,1
2006,7D6,D,STATW2,Statewide District  2,Interop,MPSCS Statewide,1
2007,7D7,D,REGD2N,Metro Post 21 North Dispatch,Law Dispatch,State Police District 2  Metro Detroit TriCounty Area,1
2008,7D8,D,REGD2S,Metro Post 22 South Dispatch,Law Dispatch,State Police District 2  Metro Detroit TriCounty Area,1
2009,7D9,De,D2SPARE1,Metro Posts 21 22 Spare 1,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2010,7DA,D,D2SPARE2,Metro Posts 21 22 Spare 2,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2011,7DB,D,REGD2LEIN,Metro Posts 21 22 LEIN,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2012,7DC,D,D2SPARE3,Metro Posts 21 22 Spare 3,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2013,7DD,D,393FE911,FireEMS  Dispatch Simulcast on 155820 MHz,Fire Dispatch,Genesee County 25 Fenton City,1
2014,7DE,D,82P911,Dispatch,Law Dispatch,Wayne County 82 Sheriffs Department,1
2015,7DF,D,MCREG2,Motor Carrier Enforcement CartoCar,Law Tac,State Police District 2  Metro Detroit TriCounty Area,1
2016,7E0,D,MCREG2N,Motor Carrier Enforcement North,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2017,7E1,D,MCREG2S,Motor Carrier Enforcement South,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2018,7E2,D,MC14,Post 14 Monroe Motor Carrier Enforcement,Law Talk,State Police District 1  CentralSouth Region,1
2019,7E3,D,09P911,Central 911 Police Dispatch,Law Dispatch,Bay County 09 Law Enforcement,1
2020,7E4,D,09LEIN,Central 911 Police LEIN,Law Talk,Bay County 09 Law Enforcement,1
2022,7E6,D,09SPEV1,Special Events 1,Interop,Bay County 09 CommonInterop,1
2023,7E7,D,09SPEV2,Special Events 2,Interop,Bay County 09 CommonInterop,1
2024,7E8,D,09SPEV3,Special Events 3,Interop,Bay County 09 CommonInterop,1
2025,7E9,D,09SPEV4,Special Events 4,Interop,Bay County 09 CommonInterop,1
2027,7EB,D,SLPCOM,Southern Lower Peninsula,Law Talk,State Dept of Natural Resources  Statewide,1
2029,7ED,D,METCID1,Metro Detroit Criminal Interdiction Division 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2030,7EE,D,METCID2,Metro Detroit Criminal Interdiction Division 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2031,7EF,D,METCID3,Metro Detroit Criminal Interdiction Division 3,Law Tac,State Police  Detroit TriCounty Area CID,1
2033,7F1,DE,COMETN1,County of Macomb Enforcement Team Narc 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2034,7F2,DE,COMETN2,County of Macomb Enforcement Team Narc 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2036,7F4,DE,COMETS1,County of Macomb Enforcement Team Surveillance 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2037,7F5,DE,COMETS2,County of Macomb Enforcement Team Surveillance 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2038,7F6,DE,COMETS3,County of Macomb Enforcement Team Surveillance 3,Law Tac,State Police  Detroit TriCounty Area CID,1
2039,7F7,DE,COMETS4,County of Macomb Enforcement Team Surveillance 4,Law Tac,State Police  Detroit TriCounty Area CID,1
2040,7F8,DE,WWCINT1,Western Wayne Narcotics 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2041,7F9,DE,WWCINT2,Western Wayne Narcotics 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2042,7FA,DE,WWCIAT1,Western Wayne Auto Theft 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2043,7FB,DE,WWCIAT2,Western Wayne Auto Theft 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2044,7FC,DE,NETN1,Narcotics Enforcement 1,Law Tac,State Police  Statewide,1
2045,7FD,DE,NETN2,Narcotics Enforcement 2,Law Tac,State Police  Statewide,1
2046,7FE,DE,NETN3,Narcotics Enforcement 3,Law Tac,State Police  Statewide,1
2047,7FF,DE,NETN4,Narcotics Enforcement 4,Law Tac,State Police  Statewide,1
2048,800,DE,NETN5,Narcotics Enforcement 5,Law Tac,State Police  Statewide,1
2049,801,DE,NETN6,Narcotics Enforcement 6,Law Tac,State Police  Statewide,1
2050,802,DE,NETN7,Narcotics Enforcement 7,Law Tac,State Police  Statewide,1
2051,803,DE,ISSRV1,CID Invest Services Surveillance 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2052,804,DE,ISSRV2,CID Invest Services Surveillance 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2053,805,DE,ISSRV3,CID Invest Services Surveillance 3,Law Tac,State Police  Detroit TriCounty Area CID,1
2056,808,DE,DRANO1,Downriver Area Narcotics Organization 1 North,Law Tac,State Police  Detroit TriCounty Area CID,1
2057,809,DE,DRANO2,Downriver Area Narcotics Organization 2 North,Law Tac,State Police  Detroit TriCounty Area CID,1
2058,80A,DE,DRATT1,Downriver Auto Theft Team 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2059,80B,DE,CHIEF1,Combined Hotel Interdiction Enforcement 1,Law Tac,State Police  Detroit TriCounty Area CID,1
2060,80C,DE,CHIEF2,Combined Hotel Interdiction Enforcement 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2061,80D,De,LAWNET 1,Livingston And Washtenaw Narcotics Enforcement Team 1,Law Tac,State Police  CentralSouth Region CID,1
2062,80E,De,LAWNET 2,Livingston And Washtenaw Narcotics Enforcement Team 2,Law Tac,State Police  CentralSouth Region CID,1
2063,80F,De,LAWNET 3,Livingston And Washtenaw Narcotics Enforcement Team 3,Law Tac,State Police  CentralSouth Region CID,1
2064,810,De,LAWNET A,Livingston And Washtenaw Narcotics Enforcement Team 4,Law Tac,State Police  CentralSouth Region CID,1
2065,811,DE,DRANO4,Downriver Area Narcotics Organization 4 South,Law Tac,State Police  Detroit TriCounty Area CID,1
2066,812,DE,DRANO3,Downriver Area Narcotics Organization 3 South,Law Tac,State Police  Detroit TriCounty Area CID,1
2067,813,DE,58OMNI,Office of Monroe Narcotics Investigations,Law Tac,State Police  CentralSouth Region CID,1
2068,814,DE,58MAAT,Monroe Area Auto Theft,Law Tac,State Police  CentralSouth Region CID,1
2069,815,DE,58 MANTIS 1,Monroe Area Narcotics Team Investigation Services 1,Law Tac,State Police  CentralSouth Region CID,1
2070,816,DE,58 MANTIS 2,Monroe Area Narcotics Team Investigation Services 2,Law Tac,State Police  CentralSouth Region CID,1
2071,817,DE,58 MANTIS 3,Monroe Area Narcotics Team Investigation Services 3,Law Tac,State Police  CentralSouth Region CID,1
2072,818,DE,58 MANTIS 4,Monroe Area Narcotics Team Investigation Services 4,Law Tac,State Police  CentralSouth Region CID,1
2073,819,DE,58 MANTIS 5,Monroe Area Narcotics Team Investigation Services 5,Law Tac,State Police  CentralSouth Region CID,1
2074,81A,DE,82ICU,Internet Crimes Unit,Law Tac,Wayne County 82 Sheriffs Department,1
2075,81B,DE,D2FAT2,Fugitive Apprehension Team 2,Law Tac,State Police  Detroit TriCounty Area CID,1
2076,81C,DE,MSP CID,Detectives,Law Tac,State Police  Detroit TriCounty Area CID,1
2077,81D,DE,MSP CID,Detectives,Law Tac,State Police  Detroit TriCounty Area CID,1
2078,81E,DE,MSP CID,Detectives,Law Tac,State Police  Detroit TriCounty Area CID,1
2079,81F,DE,MSP CID,Detectives,Law Tac,State Police  Detroit TriCounty Area CID,1
2081,821,D,FANGCOM,Flint Area Narcotics Group Common,Law Tac,State Police  ThumbTriCities Region CID,1
2082,822,De,FANG1,Flint Area Narcotics Group 1,Law Tac,State Police  ThumbTriCities Region CID,1
2083,823,De,FANG2,Flint Area Narcotics Group 2,Law Tac,State Police  ThumbTriCities Region CID,1
2084,824,De,FANG3,Flint Area Narcotics Group 3,Law Tac,State Police  ThumbTriCities Region CID,1
2085,825,De,FANG4,Flint Area Narcotics Group 4,Law Tac,State Police  ThumbTriCities Region CID,1
2088,828,D,25COM,Countywide Common Mutual Aid all agencies,Interop,Genesee County 25 CommonInterop,1
2089,829,D,GAMECOM,Gaming Division  Calling,Law Tac,State Gaming Control Board,1
2090,82A,D,METCID4,Metro Detroit Criminal Interdiction Division 4,Law Tac,State Police  Detroit TriCounty Area CID,1
2091,82B,D,METCID5,Metro Detroit Criminal Interdiction Division 5,Law Tac,State Police  Detroit TriCounty Area CID,1
2092,82C,D,METCID6,Metro Detroit Criminal Interdiction Division 6,Law Tac,State Police  Detroit TriCounty Area CID,1
2093,82D,D,DNR08,District 8 Dispatch,Law Dispatch,State Dept of Natural Resources  District 8,1
2094,82E,D,MAMAN01,Tactical 1,Military,Michigan National Guard,1
2095,82F,D,MAMAN02,Tactical 2,Military,Michigan National Guard,1
2096,830,D,MAMAN09,Tactical 9,Military,Michigan National Guard,1
2097,831,D,MAMAN10,Tactical 10,Military,Michigan National Guard,1
2098,832,D,MAMAN11,Tactical 11,Military,Michigan National Guard,1
2099,833,D,D2FAT3,Fugitive Apprehension Team 3,Law Tac,State Police  Detroit TriCounty Area CID,1
2103,837,D,DOC7901,Tuscola County 1,Corrections,State Dept of Corrections  Northern Region,1
2104,838,D,DOCNORTH,Northern Region,Corrections,State Dept of Corrections  Northern Region,1
2105,839,DE,DOCFAT,Fugitive Apprehension Team,Corrections,State Dept of Corrections  Statewide,1
2106,83A,D,DOC3802,Jackson County 2,Corrections,State Dept of Corrections  Southern Region,1
2108,83C,D,DOC5001,Macomb 1,Corrections,State Dept of Corrections  Southern Region,1
2110,83E,D,DOC8101,Washtenaw 1,Corrections,State Dept of Corrections  Southern Region,1
2111,83F,D,DOC8201,Wayne County 1,Corrections,State Dept of Corrections  Southern Region,1
2112,840,D,DOC8202,Wayne County 2,Corrections,State Dept of Corrections  Southern Region,1
2113,841,D,DOC3801,Jackson 1,Corrections,State Dept of Corrections  Southern Region,1
2115,843,D,DOC5002,Macomb 2,Corrections,State Dept of Corrections  Southern Region,1
2116,844,D,DOC6302,Oakland 2,Corrections,State Dept of Corrections  Southern Region,1
2117,845,D,DOC8102,Washtenaw 2,Corrections,State Dept of Corrections  Southern Region,1
2118,846,D,DOCSR,MDOC Southern Region,Corrections,State Dept of Corrections  Statewide,1
2120,848,DE,TECH2,District 2 Technicians,Public Works,MPSCS Technicians,1
2122,84A,D,25DRUG,Countywide Narcotics Enforcement Common,Law Tac,Genesee County 25 Law Enforcement,1
2123,84B,D,32DRUG,Countywide Narcotics Enforcement Common,Law Tac,Huron County 32,1
2124,84C,D,44DRUG,Countywide Narcotics Enforcement Common,Deprecated,Lapeer County 44 Law Enforcement,1
2125,84D,D,50DRUG,Countywide Drug Enforcement Common ,Law Tac,Macomb County 50 Law Enforcement,1
2126,84E,D,58DRUG,Countywide Narcotics Enforcement Common,Law Tac,Monroe County 58 Law Enforcement,1
2127,84F,D,63DRUG,Countywide Narcotics Enforcement Common,Law Tac,Oakland County 63,1
2128,850,D,73DRUG,County Drug Common,Law Talk,Saginaw County 73 E911 Central Dispatch Police,1
2129,851,D,74LAW1,Central 911 Police Law Enforcement 1,Law Talk,St Clair County 74 Law Enforcement,1
2131,853,D,79DRUG,Countywide Narcotics Enforcement Common,Law Tac,Tuscola County 79 Law Enforcement,1
2132,854,DE,81DRUG,Countywide Narcotics Enforcement Common,Law Tac,Washtenaw County 81 Law Enforcement,1
2133,855,D,82DRUG,Countywide Narcotics Enforcement Common,Law Tac,Wayne County 82 Sheriffs Department,1
2134,856,D,47COM,Countywide Common Mutual Aid all agencies,Interop,Livingston County 47 CommonInterop,1
2135,857,D,82COM,Countywide Common Mutual Aid all agencies,Interop,Wayne County 82 CommonInterop,1
2136,858,D,47EMS,EMS  Private channel,EMS-Talk,Livingston County 47 EMSHospitals,1
2137,859,D,47PD941,Unadilla Police  Proprietary,Law Tac,Livingston County 47 Law Enforcement,1
2138,85A,D,47PD667,Pinckney Police  Proprietary,Law Tac,Livingston County 47 Law Enforcement,1
2139,85B,D,47PD451,Hamburg Police  Proprietary,Law Tac,Livingston County 47 Law Enforcement,1
2140,85C,D,47PD865,Green Oak Police  Proprietary,Law Tac,Livingston County 47 Law Enforcement,1
2141,85D,D,47PD147,Sheriff Dept  Proprietary Road Patrol,Law Tac,Livingston County 47 Law Enforcement,1
2142,85E,D,47EMER3,Emergency Scene 3,Multi-Tac,Livingston County 47 CommonInterop,1
2143,85F,D,47EMER2,Emergency Scene 2,Multi-Tac,Livingston County 47 CommonInterop,1
2144,860,D,47DRUG,Countywide Narcotics Enforcement Common  LAWNET,Law Tac,Livingston County 47 Law Enforcement,1
2145,861,D,47DET,Detectives,Law Tac,Livingston County 47 Law Enforcement,1
2146,862,D,47P911,Central 911 Police  Dispatch,Law Dispatch,Livingston County 47 Law Enforcement,1
2147,863,D,47FD911,Central 911 Fire  Dispatch Simulcast on 154010 MHz,Fire Dispatch,Livingston County 47 Fire,1
2148,864,D,47MD911,EMS  Dispatch Simulcast on 154010 MHz,EMS Dispatch,Livingston County 47 EMSHospitals,1
2149,865,D,47SPEV1,Special Events 1 Fire Tac as needed,Interop,Livingston County 47 CommonInterop,1
2150,866,D,47SPEV2,Special Events 2 Fire Tac as needed,Interop,Livingston County 47 CommonInterop,1
2151,867,D,47EMER1,Emergency Scene 1,Multi-Tac,Livingston County 47 CommonInterop,1
2152,868,D,47PD482,Howell Police  Proprietary,Law Tac,Livingston County 47 Law Enforcement,1
2153,869,D,47PD269,Brighton Police  Proprietary,Law Tac,Livingston County 47 Law Enforcement,1
2154,86A,D,47PD405,Fowlerville Police  Proprietary,Law Tac,Livingston County 47 Law Enforcement,1
2155,86B,D,47PRSN1,Maxey Boys Training School 1,Law Talk,State Government,1
2156,86C,D,47PRSN2,Maxey Boys Training School 2,Law Talk,State Government,1
2157,86D,D,47KENSINGTON,HCMP Police Dispatch ,Law Dispatch,HuronClinton Metroparks Authority,1
2158,86E,D,82HTPD1,Police Dispatch,Law Dispatch,Wayne County 82 Huron Township,1
2161,871,D,D2POSTS,Metro Posts 21 22 Districtwide,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2163,873,D,63COM,Countywide Common Mutual Aid all agencies,Interop,Oakland County 63,1
2164,874,D,81COM,Countywide Common Mutual Aid all agencies,Interop,Washtenaw County 81 CommonInterop,1
2165,875,D,47PLEIN,Central 911 Police  LEIN,Law Tac,Livingston County 47 Law Enforcement,1
2166,876,D,EMMD2,District 2,Emergency Ops,State Police  Emergency Management and Homeland Security,1
2167,877,D,EOC testing,unid  EOC testing,Emergency Ops,State Police  Emergency Management and Homeland Security,1
2171,87B,D,73COPD1,County 911 Police  Dispatch,Law Dispatch,Saginaw County 73 E911 Central Dispatch Police,1
2172,87C,D,79P911,Central 911 Police Dispatch ,Law Dispatch,Tuscola County 79 Law Enforcement,1
2173,87D,D,58P911,Central 911 Police Dispatch,Law Dispatch,Monroe County 58 Law Enforcement,1
2174,87E,D,AMTRAK1,Amtrak 1,Law Tac,Railroad Police,1
2175,87F,De,D2K9,Metro Posts 21 22 K9 Ops,Law Talk,State Police District 2  Metro Detroit TriCounty Area,1
2176,880,D,GAME1,Gaming Division  Ch1,Law Tac,State Gaming Control Board,1
2177,881,D,GAME2,Gaming Division  Ch2,Law Tac,State Gaming Control Board,1
2178,882,D,GAME3,Gaming Division  Ch3,Law Tac,State Gaming Control Board,1
2179,883,D,GAME4,Gaming Division  Ch4,Law Tac,State Gaming Control Board,1
2180,884,D,82C911,Wayne CountyDownriver Mutual Aid Interagency,Interop,Wayne County 82 CommonInterop,1
2181,885,D,63P911,Police Patch to Oakland County,Law Tac,Oakland County 63,1
2182,886,D,63PMATA,Patch to Oakland County MATA,Interop,Oakland County 63,1
2183,887,D,63PINT,Patch to Oakland County TAC1,Interop,Oakland County 63,1
2186,88A,D,GAMEMGM,Gaming Division  MGM Casino,Law Tac,State Gaming Control Board,1
2187,88B,D,GAMEMCC,Gaming Division  Motor City Casino,Law Tac,State Gaming Control Board,1
2188,88C,D,GAMEGTC,Gaming Division  Greektown Casino,Law Tac,State Gaming Control Board,1
2189,88D,D,SGCB3,Gaming Division  unid,Law Tac,State Gaming Control Board,1
2190,88E,D,ATFDET,ATF Detroit Region,Federal,Federal Government  Law Enforcement,1
2191,88F,D,81 AAPD DISP,Ann Arbor Dispatch Alternate,Law Dispatch,Washtenaw County 81 Metro Dispatch Law Enforcement,1
2192,890,D,740P911,Shelby Twp Police Dispatch,Law Dispatch,Macomb County 50 Southern Public Safety,1
2193,891,D,740PLEIN,Shelby Twp Police Information,Law Talk,Macomb County 50 Southern Public Safety,1
2194,892,D,740COM,Shelby Twp Police Fire Common Mutual Aid,Interop,Macomb County 50 Southern Public Safety,1
2195,893,D,50EMER1,Emergency Scene 1,Interop,Macomb County 50 CommonInterop,1
2196,894,D,50EMER2,Emergency Scene 2,Interop,Macomb County 50 CommonInterop,1
2197,895,D,50EMER3,Emergency Scene 3,Interop,Macomb County 50 CommonInterop,1
